"number_of_reviews","love","value_price","level","online","exclusives","limit"
26,2600,180,"high","1","0","0"
23,2900,120,"high","1","0","0"
79,2600,180,"high","1","0","0"
79,5000,210,"high","1","0","0"
5,2100,58,"median","1","1","0"
3,87,120,"median","1","0","0"
16,1900,120,"high","0","0","0"
19,2300,142,"high","1","0","0"
44,2900,120,"high","1","0","0"
0,143,275,"low","1","0","0"
6,306,120,"high","1","0","0"
1,250,70,"high","1","0","0"
5,396,120,"high","1","0","0"
34,1900,142,"high","1","0","0"
2,464,275,"high","1","0","0"
0,165,275,"low","1","0","0"
0,122,275,"low","1","0","0"
91,8000,130,"high","1","0","0"
77,5600,130,"high","1","0","0"
12,1700,235,"high","1","0","0"
63,3800,130,"high","1","0","0"
39,4400,130,"high","1","0","0"
2,697,30,"high","1","0","0"
33,1500,130,"median","1","0","0"
48,3900,130,"high","1","0","0"
17,1800,130,"high","1","0","0"
52,4700,180,"high","1","0","0"
12,1100,130,"high","1","0","0"
23,2900,130,"high","1","0","0"
9,1400,130,"high","1","0","0"
3,1600,175,"high","1","0","0"
14,1300,175,"high","1","0","0"
921,30300,78,"high","0","0","0"
365,24400,97,"high","0","0","0"
1000,10500,97,"high","0","0","0"
608,13600,72,"high","0","0","0"
46,4700,97,"high","0","0","0"
0,324,126,"low","0","0","0"
13,1200,58,"high","0","0","0"
28,3300,78,"high","0","0","0"
384,18100,140,"high","0","0","0"
502,19200,140,"high","0","0","0"
418,16900,140,"high","0","0","0"
100,4300,140,"high","0","0","0"
86,5500,140,"high","0","0","0"
96,4400,140,"high","0","1","0"
6,1300,140,"high","0","1","0"
40,1300,140,"high","0","1","0"
67,2200,140,"high","0","0","0"
89,2800,140,"high","0","1","0"
3,599,140,"high","0","0","0"
22,1600,140,"high","0","0","0"
12,1200,140,"high","0","0","0"
15,1300,275,"high","1","0","0"
69,4900,140,"high","0","0","0"
4,2000,80,"high","0","1","0"
64,3300,140,"high","0","0","0"
1,748,275,"high","1","0","0"
29,915,275,"high","0","0","0"
11,922,140,"high","0","0","0"
7,626,140,"high","0","0","0"
10,1200,150,"high","0","0","0"
13,1200,140,"median","0","0","0"
360,11100,107,"high","0","0","0"
145,7000,117,"high","0","0","0"
29,1900,88,"high","0","0","0"
30,2700,88,"high","0","0","0"
10,486,88,"high","1","0","0"
22,2600,88,"high","0","0","0"
6,689,88,"median","0","0","0"
3,875,25,"high","1","1","0"
5,846,88,"high","0","0","0"
3,651,88,"high","0","0","0"
9,1000,88,"high","0","0","0"
5,1100,88,"median","0","0","0"
414,11200,79,"high","0","0","0"
99,8200,97,"high","0","0","0"
268,18700,99,"high","0","0","0"
337,12300,85,"high","0","0","0"
7,1100,80,"high","0","0","0"
143,10400,99,"high","0","0","0"
170,10600,99,"high","0","0","0"
556,14600,60,"high","0","0","0"
159,503,103,"high","1","0","0"
38,3300,85,"high","0","0","0"
254,4400,102,"high","0","0","0"
6,0,30,"high","1","0","0"
215,13600,98,"high","0","0","0"
474,17700,86,"high","0","0","0"
145,5600,162,"high","1","0","0"
181,8500,86,"high","0","0","0"
21,1700,86,"median","0","0","0"
1,558,114,"low","1","0","0"
15,1600,95,"high","1","0","0"
64,2700,65,"high","0","0","0"
23,682,65,"median","0","0","0"
9,854,25,"high","0","0","0"
6,158,65,"median","0","0","0"
5,721,65,"high","0","0","0"
1,306,25,"high","0","0","0"
19,1600,65,"high","0","0","0"
570,10600,79,"high","0","0","0"
186,5900,65,"high","0","0","0"
285,2700,73,"high","1","0","0"
17,1500,26,"high","1","0","0"
4,862,77,"high","1","0","0"
265,24200,96,"high","1","0","0"
28,3100,96,"high","1","0","0"
1,594,124,"high","0","0","0"
150,4100,84,"high","0","0","0"
127,2900,86,"high","0","0","0"
10,1500,86,"high","0","0","0"
627,111700,105,"high","0","0","0"
447,68800,85,"high","0","0","0"
97,16500,105,"high","0","0","0"
216,28000,115,"high","0","0","0"
115,17900,115,"high","0","0","0"
80,16700,105,"high","0","0","0"
38,6000,135,"high","0","0","0"
309,24900,135,"high","0","0","0"
93,17700,105,"high","0","0","0"
62,8800,105,"high","0","0","0"
69,11000,85,"high","0","0","0"
154,14200,105,"high","0","0","0"
29,6300,105,"high","0","0","0"
20,3400,85,"high","0","0","0"
54,9900,85,"high","0","0","0"
14,2900,85,"high","0","0","0"
16,3100,105,"high","0","0","0"
38,6400,105,"high","0","0","0"
7,4300,130,"median","0","0","0"
55,8800,85,"high","0","0","0"
13,2300,85,"high","0","0","0"
6,1300,70,"median","1","0","1"
2,1400,60,"high","1","0","0"
1000,89000,132,"high","0","0","0"
467,28500,125,"high","0","0","0"
258,14300,132,"high","0","0","0"
194,13100,132,"high","0","0","0"
326,1600,119,"high","0","0","0"
62,6500,132,"high","0","0","0"
210,543,142,"high","1","0","0"
20,2800,145,"high","0","0","1"
84,896,95,"high","0","0","0"
28,1800,132,"high","0","0","0"
4,1900,115,"high","0","0","0"
7,1800,115,"high","0","0","0"
22,1100,98,"high","0","1","1"
135,5400,98,"high","0","1","0"
105,5400,98,"high","0","0","0"
87,5500,98,"high","0","0","0"
49,2600,98,"high","0","1","0"
207,2900,98,"median","0","0","0"
318,10300,44,"high","0","0","0"
533,10100,74,"high","0","0","0"
115,3500,98,"high","0","0","0"
61,4600,98,"high","0","0","0"
128,4900,74,"high","0","0","0"
117,5500,74,"high","0","0","0"
116,3500,98,"high","0","0","0"
252,5400,74,"median","0","0","0"
220,4000,74,"high","0","0","0"
151,3100,74,"high","0","0","0"
61,3400,98,"high","0","0","0"
13,2100,74,"high","0","0","0"
31,3600,74,"high","0","0","0"
24,2100,74,"high","0","0","0"
35,2300,24,"high","0","0","0"
15,1400,74,"high","0","0","0"
6,673,68,"high","1","0","0"
7,650,44,"median","0","0","1"
16,1800,98,"high","0","0","0"
14,1200,98,"high","0","1","0"
630,15500,53,"high","0","0","0"
4,1400,53,"high","1","0","0"
62,2100,55.5,"high","0","0","0"
187,2200,77,"high","0","0","0"
63,3500,26,"high","0","1","0"
178,6700,42,"high","0","0","0"
175,6800,42,"high","0","0","0"
92,6000,42,"high","0","0","0"
26,1700,85,"high","1","0","0"
16,1500,85,"high","1","0","0"
13,1800,42,"high","1","0","0"
38,1200,85,"high","0","0","0"
117,2600,85,"median","0","0","0"
17,954,85,"high","0","0","0"
28,1300,85,"high","0","0","0"
24,949,85,"median","0","0","0"
982,47500,105,"high","0","0","0"
635,44800,85,"high","0","0","0"
197,13300,105,"median","0","0","0"
697,24500,85,"high","0","0","0"
9,1400,150,"high","0","0","0"
28,4400,107,"median","0","0","0"
31,2000,107,"median","0","0","0"
155,14600,135,"high","0","0","0"
143,9100,100,"median","0","0","0"
98,10500,85,"high","0","0","0"
143,6900,105,"high","0","0","0"
94,8400,85,"high","0","0","0"
14,1600,105,"high","0","0","0"
265,10800,105,"high","0","0","0"
6,720,59,"high","1","0","0"
62,6000,135,"high","0","0","0"
30,3400,105,"high","0","0","0"
5,931,140,"high","1","0","0"
42,5000,62,"high","0","0","0"
2000,78000,104,"high","0","0","0"
124,13900,110,"high","0","0","0"
3,740,80,"high","0","0","1"
850,18400,82,"high","0","0","0"
846,20500,122,"high","0","0","0"
106,8600,122,"high","0","0","0"
373,16000,122,"high","0","0","0"
86,8000,94,"high","0","0","0"
6,817,122,"high","0","0","0"
186,7400,94,"high","0","0","0"
24,1800,94,"median","1","0","1"
83,4000,123,"high","0","0","0"
105,11000,96,"high","0","0","0"
3,337,80,"high","0","0","0"
237,6700,100,"high","0","0","0"
395,4000,102,"high","0","0","0"
1,177,175,"low","1","0","0"
2,816,175,"high","1","0","0"
84,6100,68,"high","0","1","0"
127,5400,85,"high","0","1","0"
24,3200,48,"high","0","0","1"
10,3000,48,"high","0","0","1"
63,5200,35,"median","0","0","0"
104,7700,100,"high","0","0","0"
35,1800,100,"high","1","0","0"
26,4100,100,"high","0","0","0"
45,1900,100,"high","1","0","0"
11,990,100,"high","0","0","0"
7,919,70,"high","1","0","0"
7,1100,100,"high","0","0","0"
10,819,100,"high","1","0","0"
24,3400,98,"high","0","0","0"
20,2200,85,"high","0","0","0"
41,3800,115,"high","0","0","0"
36,3400,170,"high","0","0","0"
27,3100,95,"high","1","0","0"
16,2200,98,"high","0","0","0"
7,789,90,"median","0","0","0"
16,970,78,"high","0","1","0"
450,751,78,"high","0","1","0"
429,1000,78,"high","0","1","0"
2,286,78,"high","1","1","0"
3,155,78,"high","1","1","0"
406,287,78,"median","1","1","0"
3,239,78,"high","0","1","0"
380,236,78,"high","0","1","0"
4,207,78,"high","1","1","0"
263,10400,50,"high","0","0","0"
408,12500,50,"high","0","0","0"
353,16100,50,"high","0","0","0"
343,13100,50,"high","0","0","0"
246,6800,50,"high","0","0","0"
125,6100,50,"high","0","0","0"
40,2600,90,"median","0","0","0"
154,3900,50,"high","0","0","0"
55,223,93,"high","0","0","0"
1,39,93,"high","0","0","0"
341,8900,92,"high","0","0","0"
381,9000,102,"high","0","0","0"
106,7600,92,"high","0","0","0"
10,848,150,"high","0","1","0"
382,10600,78,"high","0","0","0"
8,575,150,"high","0","1","0"
94,3000,78,"high","0","0","0"
11,664,75,"high","0","0","0"
7,924,235,"median","0","0","0"
4,457,235,"high","0","0","0"
1,351,235,"high","0","0","0"
2,571,235,"high","0","0","0"
1,269,235,"high","0","0","0"
1,564,235,"high","0","0","0"
1,447,235,"high","0","0","0"
1,605,235,"high","0","0","0"
3,637,235,"high","0","0","0"
5,894,235,"high","0","0","0"
2,266,235,"high","0","0","0"
361,35400,100,"high","0","0","0"
316,21700,80,"high","0","1","0"
152,11200,80,"high","0","1","1"
832,36800,80,"high","0","0","0"
155,10700,97,"high","0","1","0"
234,5100,120,"median","0","0","0"
359,8200,82,"high","0","0","0"
82,8900,83,"high","0","0","0"
188,14700,74,"high","0","0","0"
110,6000,107,"high","0","0","0"
141,2800,107,"high","0","0","0"
223,2500,96,"high","0","0","1"
318,9000,102,"high","0","0","0"
61,1500,96,"high","0","0","0"
165,6500,75,"high","0","0","0"
81,962,112,"high","0","0","0"
513,8300,80,"high","0","1","0"
21,1400,80,"high","0","0","0"
154,7500,96,"high","0","0","0"
103,8700,80,"high","0","1","1"
25,2600,85,"high","0","0","0"
324,21000,72,"high","1","0","0"
215,6000,100,"high","1","0","0"
36,2600,144,"high","1","0","0"
8,1000,130,"high","1","0","0"
4,831,145,"high","1","0","0"
53,3900,110,"high","1","0","0"
13,1700,130,"high","1","0","0"
11,896,130,"high","1","0","0"
39,2300,82,"high","1","0","0"
104,2300,88,"high","1","0","0"
1,577,116,"median","1","0","0"
184,11400,134,"high","0","0","0"
28,3100,190,"high","0","0","0"
88,7900,151,"high","0","0","0"
117,10200,139,"high","0","0","0"
85,6300,139,"high","0","0","0"
3,284,111,"high","0","0","0"
8,941,96,"high","0","0","0"
29,4600,112,"high","0","0","0"
36,3200,114,"high","1","0","0"
14,1700,134,"high","0","0","0"
50,3400,102,"high","0","0","0"
15,2300,131,"high","0","0","0"
20,1300,102,"high","0","0","0"
28,2000,131,"high","1","0","0"
85,5200,139,"high","0","0","0"
3,539,168,"high","1","0","0"
14,1700,131,"high","0","0","0"
3,903,131,"high","0","0","0"
23,1900,127,"high","0","0","0"
18,1600,168,"high","1","0","0"
7,484,131,"high","0","0","0"
283,11500,118,"high","1","0","0"
20,1400,85,"high","1","1","0"
172,3900,118,"median","1","0","0"
135,2800,118,"high","1","0","0"
124,2500,118,"high","1","0","0"
0,145,98,"low","0","0","0"
264,32400,140,"high","0","0","0"
145,20600,140,"high","0","0","0"
107,17900,140,"high","0","0","0"
171,27100,140,"high","0","0","0"
32,3400,140,"high","0","0","0"
66,10600,140,"high","0","0","0"
66,8900,140,"high","0","0","0"
70,10100,140,"high","0","0","0"
4,1700,72,"high","0","0","1"
74,10100,140,"high","0","0","0"
67,13100,140,"high","0","0","0"
34,4400,190,"high","0","0","0"
45,5300,140,"median","0","0","0"
34,5200,190,"high","0","0","0"
22,4400,190,"high","0","0","0"
24,3500,130,"high","0","0","0"
3,677,70,"median","0","0","0"
12,2400,190,"high","0","0","0"
43,3800,140,"high","0","0","0"
60,6400,140,"high","0","0","0"
45,5000,140,"high","0","0","0"
10,2100,190,"high","0","0","0"
9,2000,190,"median","0","0","0"
14,3000,140,"high","0","0","0"
9,2100,72,"high","0","0","1"
3,425,130,"median","0","0","0"
6,2300,72,"high","0","0","1"
3,664,180,"median","0","0","0"
0,60,94,"low","0","0","1"
1000,35300,79,"high","0","0","0"
133,8100,79,"high","0","0","0"
61,6500,79,"high","1","0","0"
579,9000,76,"high","0","0","0"
22,2400,85,"high","1","0","0"
118,7200,99,"high","0","0","0"
